timestamp;black;green;red
627;220;220;2
628;220;240;4
629;220;260;6
630;220;280;22
631;220;300;23
632;220;320;13
633;220;340;13
634;220;360;14
635;220;380;125
636;220;400;128
637;220;420;128
638;220;440;129
639;220;460;129
640;220;480;129
641;220;500;129
642;220;520;128
643;220;540;127
644;220;560;128
645;220;580;128
646;220;600;128
647;220;620;129
648;220;640;129
649;220;660;130
650;220;680;129
651;220;700;129
652;220;720;129
653;220;740;129
654;220;760;131
655;220;780;131
656;220;800;10
657;220;820;10
658;220;840;27
659;220;860;26
660;220;880;10
661;220;900;9
662;220;920;10
663;220;940;25
664;220;960;26
665;220;980;27
666;220;1000;11
667;220;1020;10
668;220;1040;8
669;220;1060;27
670;220;1080;25
671;220;1100;25
672;240;0;2
673;240;20;4
674;240;40;8
675;240;60;23
676;240;80;22
677;240;100;4
678;240;120;6
679;240;140;5
680;240;160;22
681;240;180;20
682;240;200;22
683;240;220;3
684;240;240;4
685;240;260;6
686;240;280;22
687;240;300;24
688;240;320;23
689;240;340;15
690;240;360;16
691;240;380;126
692;240;400;128
693;240;420;129
694;240;440;130
695;240;460;129
696;240;480;130
697;240;500;129
698;240;520;128
699;240;540;128
700;240;560;130
701;240;580;128
702;240;600;130
703;240;620;129
704;240;640;130
705;240;660;129
706;240;680;130
707;240;700;130
708;240;720;130
709;240;740;129
710;240;760;131
711;240;780;132
712;240;800;11
713;240;820;10
714;240;840;28
715;240;860;27
716;240;880;9
717;240;900;10
718;240;920;10
719;240;940;26
720;240;960;26
721;240;980;28
722;240;1000;11
723;240;1020;11
724;240;1040;13
725;240;1060;27
726;240;1080;26
727;240;1100;26
728;260;0;3
729;260;20;3
730;260;40;5
731;260;60;8
732;260;80;22
733;260;100;6
734;260;120;7
735;260;140;6
736;260;160;6
737;260;180;5
738;260;200;6
739;260;220;5
740;260;240;5
741;260;260;8
742;260;280;8
743;260;300;23
744;260;320;17
745;260;340;15
746;260;360;18
747;260;380;128
748;260;400;129
749;260;420;130
750;260;440;130
751;260;460;130
752;260;480;130
753;260;500;129
754;260;520;130
755;260;540;130
756;260;560;130
757;260;580;129
758;260;600;130
759;260;620;131
760;260;640;130
761;260;660;132
762;260;680;130
763;260;700;130
764;260;720;130
765;260;740;130
766;260;760;132
767;260;780;131
768;260;800;19
769;260;820;20
770;260;840;27
771;260;860;27
772;260;880;11
773;260;900;11
774;260;920;11
775;260;940;9
776;260;960;14
777;260;980;13
778;260;1000;11
779;260;1020;12
780;260;1040;11
781;260;1060;26
782;260;1080;26
783;260;1100;10
784;280;0;4
785;280;20;3
786;280;40;5
787;280;60;6
788;280;80;6
789;280;100;6
790;280;120;8
791;280;140;6
792;280;160;6
793;280;180;4
794;280;200;6
795;280;220;5
796;280;240;5
797;280;260;8
798;280;280;7
799;280;300;8
800;280;320;14
801;280;340;16
802;280;360;18
803;280;380;218
804;280;400;130
805;280;420;130
806;280;440;130
807;280;460;132
808;280;480;282
809;280;500;130
810;280;520;280
811;280;540;280
812;280;560;130
813;280;580;280
814;280;600;280
815;280;620;280
816;280;640;130
817;280;660;280
818;280;680;281
819;280;700;281
820;280;720;130
821;280;740;129
822;280;760;131
823;280;780;132
824;280;800;18
825;280;820;19
826;280;840;11
827;280;860;11
828;280;880;11
829;280;900;11
830;280;920;11
831;280;940;9
832;280;960;10
833;280;980;11
834;280;1000;11
835;280;1020;12
836;280;1040;8
837;280;1060;10
838;280;1080;11
839;280;1100;9
840;300;0;5
841;300;20;3
842;300;40;4
843;300;60;6
844;300;80;6
845;300;100;6
846;300;120;6
847;300;140;6
848;300;160;6
849;300;180;5
850;300;200;6
851;300;220;5
852;300;240;6
853;300;260;6
854;300;280;8
855;300;300;6
856;300;320;15
857;300;340;15
858;300;360;18
859;300;380;219
860;300;400;220
861;300;420;222
862;300;440;221
863;300;460;221
864;300;480;280
865;300;500;280
866;300;520;280
867;300;540;278
868;300;560;280
869;300;580;279
870;300;600;280
871;300;620;281
872;300;640;280
873;300;660;281
874;300;680;281
875;300;700;220
876;300;720;221
877;300;740;221
878;300;760;222
879;300;780;222
880;300;800;18
881;300;820;20
882;300;840;11
883;300;860;11
884;300;880;11
885;300;900;10
886;300;920;10
887;300;940;10
888;300;960;10
889;300;980;11
890;300;1000;11
891;300;1020;11
892;300;1040;10
893;300;1060;10
894;300;1080;11
895;300;1100;9
896;320;0;3
897;320;20;3
898;320;40;5
899;320;60;20
900;320;80;4
901;320;100;5
902;320;120;7
903;320;140;6
904;320;160;22
905;320;180;22
906;320;200;22
907;320;220;4
908;320;240;5
909;320;260;7
910;320;280;23
911;320;300;22
912;320;320;22
913;320;340;23
914;320;360;25
915;320;380;218
916;320;400;236
917;320;420;237
918;320;440;220
919;320;460;222
920;320;480;280
921;320;500;281
922;320;520;298
923;320;540;297
924;320;560;298
925;320;580;278
926;320;600;280
927;320;620;299
928;320;640;299
929;320;660;299
930;320;680;278
931;320;700;221
932;320;720;221
933;320;740;239
934;320;760;239
935;320;780;221
936;320;800;223
937;320;820;20
938;320;840;28
939;320;860;27
940;320;880;11
941;320;900;10
942;320;920;12
943;320;940;11
944;320;960;27
945;320;980;9
946;320;1000;11
947;320;1020;12
948;320;1040;11
949;320;1060;27
950;320;1080;27
951;320;1100;26
952;340;0;4
953;340;20;4
954;340;40;22
955;340;60;22
956;340;80;23
957;340;100;6
958;340;120;7
959;340;140;6
960;340;160;22
961;340;180;22
962;340;200;24
963;340;220;4
964;340;240;6
965;340;260;8
966;340;280;23
967;340;300;22
968;340;320;24
969;340;340;25
970;340;360;25
971;340;380;218
972;340;400;236
973;340;420;239
974;340;440;221
975;340;460;221
976;340;480;281
977;340;500;281
978;340;520;298
979;340;540;297
980;340;560;299
981;340;580;280
982;340;600;280
983;340;620;299
984;340;640;298
985;340;660;299
986;340;680;298
987;340;700;221
988;340;720;222
989;340;740;239
990;340;760;240
991;340;780;240
992;340;800;25
993;340;820;27
994;340;840;27
995;340;860;28
996;340;880;9
997;340;900;11
998;340;920;11
999;340;940;27
1000;340;960;27
1001;340;980;28
1002;340;1000;12
1003;340;1020;13
1004;340;1040;11
1005;340;1060;27
1006;340;1080;27
1007;340;1100;26
1008;360;0;3
1009;360;20;2
1010;360;40;5
1011;360;60;20
1012;360;80;22
1013;360;100;5
1014;360;120;6
1015;360;140;6
1016;360;160;22
1017;360;180;20
1018;360;200;22
1019;360;220;4
1020;360;240;5
1021;360;260;6
1022;360;280;23
1023;360;300;22
1024;360;320;23
1025;360;340;23
1026;360;360;25
1027;360;380;218
1028;360;400;235
1029;360;420;237
1030;360;440;237
1031;360;460;221
1032;360;480;281
1033;360;500;280
1034;360;520;280
1035;360;540;278
1036;360;560;280
1037;360;580;280
1038;360;600;280
1039;360;620;280
1040;360;640;280
1041;360;660;281
1042;360;680;281
1043;360;700;220
1044;360;720;221
1045;360;740;237
1046;360;760;239
1047;360;780;221
1048;360;800;18
1049;360;820;20
1050;360;840;28
1051;360;860;28
1052;360;880;28
1053;360;900;11
1054;360;920;12
1055;360;940;11
1056;360;960;27
1057;360;980;11
1058;360;1000;12
1059;360;1020;12
1060;360;1040;12
1061;360;1060;27
1062;360;1080;27
1063;360;1100;26
1064;380;0;4
